standard_code,raw_title,canonical_title_expanded,standard_kind,old_canonical_product,new_canonical_product,product_subtype,primary_subject,material,application,function,applies_to_product_families,confidence,evidence,resolution_status,review_required,notes
IS 1977: 1996,LOW TENSILE STRUCTURAL  STEEL,,material_standard,,pipe_fitting,,LOW TENSILE STRUCTURAL STEEL,steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2036: 1995,PHENOLIC LAMINATED SHEETS,,material_standard,,thermal_insulation,,PHENOLIC LAMINATED SHEETS,,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2046: 1995,DECORATIVE THERMOSETTING SYNTHETIC,DECORATIVE THERMOSETTING SYNTHETIC RESIN BONDED LAMINATED SHEETS,material_standard,,glass,,DECORATIVE THERMOSETTING SYNTHETIC RESIN BONDED LAMINATED SHEETS,,flooring,,,high,"{""application"": [""full_text_repeated_terms""], ""canonical_product"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 205: 1992,NON  FERROUS METAL BUTT HINGES,,product_standard,,hinge,,NON FERROUS METAL BUTT HINGES,steel,,,hardware,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2062: 1999,STEEL FOR GENERAL STRUCTURAL PURPOSES,,material_standard,,pipe_fitting,,STEEL FOR GENERAL STRUCTURAL PURPOSES,steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 206: 1992,TEE AND STRAP HINGES,,material_standard,,pipe_fitting,tee,tee,steel,,,hardware; pipe_water_drainage,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""], ""product_subtype"": [""title"", ""scope"", ""full_text_summary_heading""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 207: 1964,GATE AND SHUTTER HOOKS AND EYES,,product_standard,,door,,GATE AND SHUTTER HOOKS AND EYES,steel,,,door_window; hardware,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2086: 1993,CARRIERS AND BASES USED IN REWIRABLE TYPE,CARRIERS AND BASES USED IN REWIRABLE TYPE ELECTRIC FUSES FOR VOLTAGES UP TO 650 VOLTS,product_standard,,thermal_insulation,,CARRIERS AND BASES USED IN REWIRABLE TYPE ELECTRIC FUSES FOR VOLTAGES UP TO 650 VOLTS,,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 208: 1996,DOOR HANDLES,,material_standard,,door,,DOOR HANDLES,cast iron,door and window construction,,door_window,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2090: 1983,HIGH TENSILE STEEL BARS USED IN,HIGH TENSILE STEEL BARS USED IN PRESTRESSED CONCRETE,material_standard,,used_in_prestressed_concrete,,HIGH TENSILE STEEL BARS USED IN PRESTRESSED CONCRETE,steel,,,,high,"{""canonical_product"": [""title""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 2095 (Part 1): 1996,GYPSUM PLASTER BOARDS,GYPSUM PLASTER BOARDS PART 1 PLAIN GYPSUM PLASTER BOARDS,product_standard,,board,,GYPSUM PLASTER BOARDS PART 1 PLAIN GYPSUM PLASTER BOARDS,concrete,,,wood_board,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2095 (Part 3): 1996,GYPSUM PLASTER BOARDS,GYPSUM PLASTER BOARDS PART 3 REINFORCED GYPSUM PLASTER BOARDS,material_standard,,board,,GYPSUM PLASTER BOARDS PART 3 REINFORCED GYPSUM PLASTER BOARDS,steel,door and window construction,,door_window; glass; wood_board,high,"{""application"": [""scope"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2104: 1981,. WATER METER BOXES (DOMESTIC TYPE),,material_standard,,pipe,,WATER METER BOXES (DOMESTIC TYPE),cast iron,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2116: 1980,SAND FOR MASONRY MORTARS,,product_standard,,stone,,SAND FOR MASONRY MORTARS,clay,,,stone,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""scope"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 212: 1983,CRUDE COAL TAR FOR GENERAL USE,,product_standard,,crude_coal_tar_use,,CRUDE COAL TAR FOR GENERAL USE,timber,,,,high,"{""canonical_product"": [""title""], ""material"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 2140: 1978,STRANDED GALVANIZED STEEL WIRE FOR,STRANDED GALVANIZED STEEL WIRE FOR FENCING,material_standard,,aggregate,,STRANDED GALVANIZED STEEL WIRE FOR FENCING,steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2155: 1982,COLD FORGED SOLID STEEL RIVETS FOR HOT,COLD FORGED SOLID STEEL RIVETS FOR HOT CLOSING (6 TO 16 mm DIAMETER),material_standard,,rivet,,COLD FORGED SOLID STEEL RIVETS FOR HOT CLOSING (6 TO 16 mm DIAMETER),steel,,,fastener,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 215: 1995,ROAD TAR,,product_standard,,waterproofing_membrane,,ROAD TAR,bitumen,waterproofing,,,high,"{""application"": [""full_text_repeated_terms""], ""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 216: 1961,COAL TAR PITCH,,material_standard,,timber,,COAL TAR PITCH,steel,roofing,roofing,coating; timber; waterproofing; welding,high,"{""application"": [""scope"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""scope"", ""full_text_repeated_terms""], ""function"": [""scope""], ""material"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2180: 1988,HEAVY DUTY BURNT CLAY BUILDING BRICKS,,product_standard,,brick,,HEAVY DUTY BURNT CLAY BUILDING BRICKS,clay,,,masonry_unit,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2185 (Part 1): 1979,CONCRETE MASONRY UNITS,CONCRETE MASONRY UNITS PART 1 HOLLOW AND SOLID CONCRETE BLOCKS,material_standard,,block,,CONCRETE MASONRY UNITS PART 1 HOLLOW AND SOLID CONCRETE BLOCKS,concrete,flooring,,masonry_unit,high,"{""application"": [""scope"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2185 (Part 2): 1983,CONCRETE MASONRY UNITS,CONCRETE MASONRY UNITS PART 2 HOLLOW AND SOLID LIGHTWEIGHT CONCRETE BLOCKS,product_standard,,block,,CONCRETE MASONRY UNITS PART 2 HOLLOW AND SOLID LIGHTWEIGHT CONCRETE BLOCKS,steel,,,masonry_unit,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 218: 1983,CREOSOTE OIL FOR USE AS WOOD,CREOSOTE OIL FOR USE AS WOOD PRESERVATIVES,material_standard,,use_as_wood_preservatives,,CREOSOTE OIL FOR USE AS WOOD PRESERVATIVES,timber,,,,high,"{""canonical_product"": [""title""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 2191 (Part 1): 1983,WOODEN FLUSH DOOR SHUTTERS,,material_standard,,door,,WOODEN FLUSH DOOR SHUTTERS,timber,flooring,,door_window; wood_board,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2191 (Part 2): 1983,WOODEN FLUSH DOOR SHUTTERS,,material_standard,,door,,WOODEN FLUSH DOOR SHUTTERS,timber,door and window construction,,door_window; wood_board,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2202 (Part 1): 1999,WOODEN FLUSH DOOR SHUTTERS,,material_standard,,door,,WOODEN FLUSH DOOR SHUTTERS,timber,flooring,,door_window; wood_board,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2202 (Part 2): 1983,WOODEN FLUSH DOOR SHUTTERS,,material_standard,,door,,WOODEN FLUSH DOOR SHUTTERS,timber,flooring,,door_window; wood_board,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2209: 1976,MORTICE LOCKS (VERTICAL TYPE),,product_standard,,bolt,,MORTICE LOCKS (VERTICAL TYPE),steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2222: 1991,BURNT CLAY PERFORATED BUILDING BRICKS,,product_standard,,brick,,BURNT CLAY PERFORATED BUILDING BRICKS,clay,,,masonry_unit,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2314: 1986,STEEL SHEET PILLING SECTIONS,,material_standard,,steel_sheet,,STEEL SHEET PILLING SECTIONS,steel,,,steel,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2326: 1987,AUTOMATIC FLUSHING CISTERNS FOR URINALS,,material_standard,,pipe,,AUTOMATIC FLUSHING CISTERNS FOR URINALS,cast iron,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2365: 1977,"STEEL WIRE SUSPENSION ROPES FOR LIFTS,","STEEL WIRE SUSPENSION ROPES FOR LIFTS, ELEVATORS AND HOISTS",material_standard,,ropes_lifts_elevators_hoists,,"STEEL WIRE SUSPENSION ROPES FOR LIFTS, ELEVATORS AND HOISTS",steel,,,,high,"{""canonical_product"": [""title""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 2372: 2004,TIMBER FOR COOLING TOWERS,,material_standard,,timber,,TIMBER FOR COOLING TOWERS,timber,,,timber,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2373: 1981,WATER METERS (BULK TYPE),,product_standard,,latch,,WATER METERS (BULK TYPE),PVC,flooring,,,high,"{""application"": [""full_text_repeated_terms""], ""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2412: 1975,LINK CLIPS FOR ELECTRICAL WIRING,,product_standard,,pipe_fitting,,LINK CLIPS FOR ELECTRICAL WIRING,cast iron,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2508: 1984,LOW DENSITY POLYTHYLENE FILMS,,material_standard,,low_density_polythylene_films,,LOW DENSITY POLYTHYLENE FILMS,,,,,high,"{""canonical_product"": [""title""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 2525: 1982,DIMENSION FOR WROUGHT ALUMINIUM AND,"DIMENSION FOR WROUGHT ALUMINIUM AND ALUMINIUM ALLOYS, WIRE",other,,aluminium_aluminium_alloys_wire,,"DIMENSION FOR WROUGHT ALUMINIUM AND ALUMINIUM ALLOYS, WIRE",aluminium,,,,high,"{""canonical_product"": [""title""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 2547 (Part 1): 1976,GYPSUM BUILDING PLASTERS,GYPSUM BUILDING PLASTERS PART 1 EXCLUDING PREMIXED LIGHTWEIGHT PLASTERS,product_standard,,board,,GYPSUM BUILDING PLASTERS PART 1 EXCLUDING PREMIXED LIGHTWEIGHT PLASTERS,concrete,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2547 (Part 2): 1976,GYPSUM BUILDING PLASTER,GYPSUM BUILDING PLASTER PART 2 PREMIXED LIGHTWEIGHT PLASTERS,product_standard,,aggregate,,GYPSUM BUILDING PLASTER PART 2 PREMIXED LIGHTWEIGHT PLASTERS,concrete,,,concrete_material,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""scope"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2548 (Part 1): 1996,PLASTIC SEATS AND COVERS FOR,"PLASTIC SEATS AND COVERS FOR WATER- CLOSETS, PART 1 THERMOSET SEATS AND COVERS",product_standard,,bolt,,"PLASTIC SEATS AND COVERS FOR WATER- CLOSETS, PART 1 THERMOSET SEATS AND COVERS",steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2548 (Part 2): 1996,PLASTIC SEATS AND COVERS FOR,"PLASTIC SEATS AND COVERS FOR WATER-CLOSETS, PART 2 – THERMOPLASTIC SEATS AND COVERS",product_standard,,bolt,,"PLASTIC SEATS AND COVERS FOR WATER-CLOSETS, PART 2 – THERMOPLASTIC SEATS AND COVERS",steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2556 (Part 1): 1994,VITREOUS SANITARY APPLIANCES,,test_method,,,,VITREOUS SANITARY APPLIANCES,,,,sanitary_fixture,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_NON_PRODUCT,False,
IS 2556 (Part 14): 1994,VITREOUS  SANITARY APPLIANCES,,product_standard,,pipe_fitting,,VITREOUS SANITARY APPLIANCES,,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2556 (Part 2): 1994,VITREOUS SANITARY APPLIANCES,,product_standard,,vitreous_sanitary_appliances,,VITREOUS SANITARY APPLIANCES,,,,,high,"{""canonical_product"": [""title""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 2556 (Part 4): 1994,VITREOUS SANITARY  APLLIANCES,,product_standard,,bolt,,VITREOUS SANITARY APLLIANCES,,flooring,,,high,"{""application"": [""full_text_repeated_terms""], ""canonical_product"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2556 (Part 9): 1994,VITREOUS  SANITARY APPLIANCES,,product_standard,,vitreous_sanitary_appliances,,VITREOUS SANITARY APPLIANCES,,,,,high,"{""canonical_product"": [""title""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 2676: 1981,DIMENSIONS FOR WROUGHT ALUMINIUM AND,"DIMENSIONS FOR WROUGHT ALUMINIUM AND ALUMINIUM ALLOYS, SHEET AND STRIP",other,,aluminium_alloys_sheet_strip,,"DIMENSIONS FOR WROUGHT ALUMINIUM AND ALUMINIUM ALLOYS, SHEET AND STRIP",aluminium,,,,high,"{""canonical_product"": [""title""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 2677: 1979,DIMENSIONS FOR  WROUGHT ALUMINIUM AND,DIMENSIONS FOR WROUGHT ALUMINIUM AND ALLOYS PLATES AND HOT-ROLLED SHEETS,other,,plates_hot_rolled_sheets,,DIMENSIONS FOR WROUGHT ALUMINIUM AND ALLOYS PLATES AND HOT-ROLLED SHEETS,aluminium,,,,high,"{""canonical_product"": [""title""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 2686: 1977,CINDER AS FINE AGGREGATES FOR,CINDER AS FINE AGGREGATES FOR USE IN LIME CONCRETE,product_standard,,aggregate,,CINDER AS FINE AGGREGATES FOR USE IN LIME CONCRETE,timber,,,concrete_material,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2691: 1988,BURNT CLAY FACING BRICKS,,other,,brick,,BURNT CLAY FACING BRICKS,clay,,,masonry_unit,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 277: 2003,GALVANIZED STEEL SHEETS,,material_standard,,steel_sheet,,GALVANIZED STEEL SHEETS,steel,roofing,,steel,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 278: 1978,GALVANIZED STEEL BARBED WIRE FOR FENCING,,material_standard,,coating,,GALVANIZED STEEL BARBED WIRE FOR FENCING,steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 280: 1978,MILD STEEL WIRE FOR GENERAL,MILD STEEL WIRE FOR GENERAL ENGINEERING PURPOSES,material_standard,,pipe_fitting,,MILD STEEL WIRE FOR GENERAL ENGINEERING PURPOSES,steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 2835: 1987,FLAT TRANSPARENT SHEET GLASS,,product_standard,,glass,,FLAT TRANSPARENT SHEET GLASS,,flooring,,glass,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2849: 1983,NON-LOAD BEARING GYPSUM PARTITION,NON-LOAD BEARING GYPSUM PARTITION BLOCKS (SOLID AND HOLLOW TYPES),product_standard,,block,,NON-LOAD BEARING GYPSUM PARTITION BLOCKS (SOLID AND HOLLOW TYPES),concrete,,,masonry_unit,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2907: 1998,NON-FERROUS RIVETS (1.6 TO 10 mm),,product_standard,,rivet,,NON-FERROUS RIVETS (1.6 TO 10 mm),aluminium,,,fastener,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 2998: 1982,COLD FORGED STEEL RIVETS FOR COLD,COLD FORGED STEEL RIVETS FOR COLD CLOSING (1 TO 16 MM DIAMETER),material_standard,,rivet,,COLD FORGED STEEL RIVETS FOR COLD CLOSING (1 TO 16 MM DIAMETER),steel,,,fastener,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3004: 1979,PLUG COCKS FOR WATER SUPPLY PURPOSES,,product_standard,,plug_socket,,PLUG COCKS FOR WATER SUPPLY PURPOSES,,water supply,,electrical,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3037: 1986,BITUMEN MASTIC FOR USE IN,BITUMEN MASTIC FOR USE IN WATER—PROOFING OF ROOFS,material_standard,,waterproofing_membrane,,BITUMEN MASTIC FOR USE IN WATER—PROOFING OF ROOFS,bitumen,waterproofing,waterproofing,waterproofing,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""function"": [""title"", ""scope"", ""full_text_summary_heading""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3068: 1986,BROKEN BRICK (BURNT CLAY) COARSE,BROKEN BRICK (BURNT CLAY) COARSE AGGREGATE FOR USE IN LIME CONCRETE,product_standard,,brick,,BROKEN BRICK (BURNT CLAY) COARSE AGGREGATE FOR USE IN LIME CONCRETE,clay,,,concrete_material; masonry_unit,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 3087: 1985,WOOD PARTICLE BOARDS (MEDIUM DENSITY),WOOD PARTICLE BOARDS (MEDIUM DENSITY) FOR GENERAL PURPOSES,product_standard,,board,,WOOD PARTICLE BOARDS (MEDIUM DENSITY) FOR GENERAL PURPOSES,timber,,,wood_board,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
